"Sequence","Cluster"
"NM_001278599.2 Homo sapiens AXL receptor tyrosine kinase (AXL), transcript variant 3, mRNA",1
"NM_001699.6 Homo sapiens AXL receptor tyrosine kinase (AXL), transcript variant 2, mRNA",2
"NM_021913.5 Homo sapiens AXL receptor tyrosine kinase (AXL), transcript variant 1, mRNA",2
"BC032229.1 Homo sapiens AXL receptor tyrosine kinase, mRNA (cDNA clone MGC:34202 IMAGE:5205825), complete cds",3
"OR103213.1 Homo sapiens isolate P4 AXL3 (Axl) mRNA, partial cds",4
"OR103212.1 Homo sapiens isolate P3 AXL3 (Axl) mRNA, partial cds",5
"OR103211.1 Homo sapiens isolate P2 AXL3 (Axl) mRNA, partial cds",5
"OR103210.1 Homo sapiens isolate P1 AXL3 (Axl) mRNA, partial cds",1
"M76125.1 Human tyrosine kinase receptor (axl) mRNA, complete cds",6
"T27746.1 EST14636 Human Endothelial cells Homo sapiens cDNA 5' end similar to tyrosine kinase receptor axl (HT:162), mRNA sequence",7
"T15634.1 IB1666 Infant brain, Bento Soares Homo sapiens cDNA 3'end similar to Human tyrosine kinase receptor (axl) mRNA, mRNA sequence",8
"AA383570.1 EST96971 Testis I Homo sapiens cDNA 5' end similar to similar to tyrosine kinase, receptor axl, mRNA sequence",9
"AA377811.1 EST90456 Synovial sarcoma Homo sapiens cDNA 5' end similar to similar to tyrosine kinase, receptor axl, mRNA sequence",10
"AA302422.1 EST15588 Aorta endothelial cells Homo sapiens cDNA 5' end similar to similar to tyrosine kinase, receptor axl, mRNA sequence",11
"NM_000820.4 Homo sapiens growth arrest specific 6 (GAS6), mRNA",12
"NM_001319106.2 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 6, mRNA",13
"NM_001319105.2 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 5, mRNA",13
"NM_001319104.4 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 4, mRNA",14
"NM_001319103.2 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 3, mRNA",13
"NM_002545.5 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 1, mRNA",13
"NM_001012393.5 Homo sapiens opioid binding protein/cell adhesion molecule like (OPCML), transcript variant 2, mRNA",14
"NM_001416203.1 Homo sapiens tensin 2 (TNS2), transcript variant 5, mRNA",15
"NM_015319.3 Homo sapiens tensin 2 (TNS2), transcript variant 1, mRNA",15
"NM_001416202.1 Homo sapiens tensin 2 (TNS2), transcript variant 4, mRNA",16
"NM_001416204.1 Homo sapiens tensin 2 (TNS2), transcript variant 6, mRNA",17
"NM_170754.4 Homo sapiens tensin 2 (TNS2), transcript variant 2, mRNA",17
"NM_198316.2 Homo sapiens tensin 2 (TNS2), transcript variant 3, mRNA",18
"CA441986.1 UI-H-ED0-axl-p-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-22-0-UI 3', mRNA sequence",19
"CA441985.1 UI-H-ED0-axl-p-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-20-0-UI 3', mRNA sequence",20
"CA441984.1 UI-H-ED0-axl-p-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-18-0-UI 3', mRNA sequence",21
"CA441983.1 UI-H-ED0-axl-p-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-16-0-UI 3', mRNA sequence",22
"CA441982.1 UI-H-ED0-axl-p-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-12-0-UI 3', mRNA sequence",23
"CA441981.1 UI-H-ED0-axl-p-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-10-0-UI 3', mRNA sequence",24
"CA441980.1 UI-H-ED0-axl-p-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-06-0-UI 3', mRNA sequence",25
"CA441979.1 UI-H-ED0-axl-p-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-04-0-UI 3', mRNA sequence",26
"CA441978.1 UI-H-ED0-axl-p-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-p-02-0-UI 3', mRNA sequence",27
"CA441977.1 UI-H-ED0-axl-n-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-24-0-UI 3', mRNA sequence",28
"CA441976.1 UI-H-ED0-axl-n-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-22-0-UI 3', mRNA sequence",29
"CA441975.1 UI-H-ED0-axl-n-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-18-0-UI 3', mRNA sequence",30
"CA441974.1 UI-H-ED0-axl-n-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-16-0-UI 3', mRNA sequence",31
"CA441973.1 UI-H-ED0-axl-n-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-14-0-UI 3', mRNA sequence",32
"CA441972.1 UI-H-ED0-axl-n-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-12-0-UI 3', mRNA sequence",33
"CA441971.1 UI-H-ED0-axl-n-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-10-0-UI 3', mRNA sequence",34
"CA441970.1 UI-H-ED0-axl-n-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-08-0-UI 3', mRNA sequence",35
"CA441969.1 UI-H-ED0-axl-n-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-06-0-UI 3', mRNA sequence",36
"CA441968.1 UI-H-ED0-axl-n-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-04-0-UI 3', mRNA sequence",37
"CA441967.1 UI-H-ED0-axl-n-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-n-02-0-UI 3', mRNA sequence",38
"CA441966.1 UI-H-ED0-axl-l-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-24-0-UI 3', mRNA sequence",39
"CA441965.1 UI-H-ED0-axl-l-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-22-0-UI 3', mRNA sequence",40
"CA441964.1 UI-H-ED0-axl-l-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-20-0-UI 3', mRNA sequence",41
"CA441963.1 UI-H-ED0-axl-l-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-18-0-UI 3', mRNA sequence",42
"CA441962.1 UI-H-ED0-axl-l-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-16-0-UI 3', mRNA sequence",43
"CA441961.1 UI-H-ED0-axl-l-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-14-0-UI 3', mRNA sequence",44
"CA441960.1 UI-H-ED0-axl-l-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-12-0-UI 3', mRNA sequence",45
"CA441959.1 UI-H-ED0-axl-l-08-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-08-0-UI 3', mRNA sequence",46
"CA441958.1 UI-H-ED0-axl-l-06-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-06-0-UI 3', mRNA sequence",47
"CA441957.1 UI-H-ED0-axl-l-04-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-04-0-UI 3', mRNA sequence",48
"CA441956.1 UI-H-ED0-axl-l-02-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-l-02-0-UI 3', mRNA sequence",49
"CA441955.1 UI-H-ED0-axl-j-24-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-24-0-UI 3', mRNA sequence",50
"CA441954.1 UI-H-ED0-axl-j-22-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-22-0-UI 3', mRNA sequence",51
"CA441953.1 UI-H-ED0-axl-j-20-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-20-0-UI 3', mRNA sequence",52
"CA441952.1 UI-H-ED0-axl-j-18-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-18-0-UI 3', mRNA sequence",53
"CA441951.1 UI-H-ED0-axl-j-16-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-16-0-UI 3', mRNA sequence",54
"CA441950.1 UI-H-ED0-axl-j-14-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-14-0-UI 3', mRNA sequence",55
"CA441949.1 UI-H-ED0-axl-j-12-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-12-0-UI 3', mRNA sequence",56
"CA441948.1 UI-H-ED0-axl-j-10-0-UI.s1 NCI_CGAP_ED0 Homo sapiens cDNA clone UI-H-ED0-axl-j-10-0-UI 3', mRNA sequence",57
